"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU1799","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Mucoraceae","Mucor","Mucor strictus"
"OTU1800","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Pluteaceae","Volvariella",NA
"OTU1801","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"OTU1802","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA
"OTU1803","Fungi","Chytridiomycota",NA,NA,NA,NA,NA
"OTU1804","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU1805","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA
"OTU1806","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU1807","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella alpina"
"OTU1808","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU1809","Fungi","Rozellomycota",NA,NA,NA,NA,NA
"OTU1810","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU1811","Fungi",NA,NA,NA,NA,NA,NA
"OTU1812","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU1813","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU1814","Fungi",NA,NA,NA,NA,NA,NA
"OTU1815","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","Spizellomycetaceae","Spizellomyces","Spizellomyces dolichospermus"
"OTU1816","Fungi","Chytridiomycota",NA,NA,NA,NA,NA
"OTU1817","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Mucoraceae","Mucor","Mucor hiemalis"
"OTU1818","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Diversisporaceae","Diversispora",NA
"OTU1819","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU1820","Fungi",NA,NA,NA,NA,NA,NA
"OTU1821","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU1823","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU1824","Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA
"OTU1825","Viridiplantae","Anthophyta","Eudicotyledonae","Asterales","Asteraceae","Gamochaeta","Gamochaeta antillana"
"OTU1826","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"OTU1827","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma",NA
"OTU1828","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Macrophomina","Macrophomina pseudophaseolina"
"OTU1829","Fungi","Chytridiomycota","Rhizophydiomycetes","Rhizophydiales",NA,NA,NA
"OTU1830","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU1831","Fungi","Basidiomycota","Tremellomycetes","Tremellales",NA,NA,NA
